Camp ID,Name,start_date,end_date,Category,reach,budget
54,Fathom WindowsHubonlyNov12 CPG,1/22/2009,5/17/2010,Marketing,36.6,4087
55,Computhink Windows7 CPG,1/23/2009,1/12/2015,Technology,10.5,2450
56,MARI Windows2012 CPG,1/25/2009,4/9/2009,Business/Finance,36.6,6878
57,SafeNet Windows2012 CPG,1/25/2009,5/8/2009,Technology,36.6,4666
58,VMware Windows CPG,1/26/2009,6/14/2009,Technology,36.6,15413
59,Accelerance WindowIFWITHFeb-May11 CPG,1/26/2009,2/1/2015,Technology,41.1,1243
60,Aerohive WightForm) CPG,1/31/2009,3/26/2009,Technology,36.6,9339
61,Motorola Win8 CPG,1/31/2009,5/22/2009,Technology,36.6,22377
62,WatchGuard Window CPG,1/31/2009,6/11/2009,Technology,36.6,15837
63,ESET WightForm) CPG,1/31/2009,2/16/2015,Technology,31.8,20126
64,IBM WightForm) CPG,2/2/2009,4/4/2009,Technology,36.6,8382
65,MessageLabs Wight CPG,2/5/2009,4/25/2009,Technology,36.6,40363
66,IDology Whitepapers2012 CPG,2/5/2009,1/27/2014,Technology,29.1,2182
67,Boxtone Wight CPG,2/5/2009,2/16/2015,Technology,77.8,2211
68,newScale WhiteQ22012 CPG,2/5/2009,2/12/2018,Technology,9.6,4788
69,MessageLabs/SC Whitepapers CPG,2/6/2009,3/21/2009,Technology,36.6,7567
70,GlobalSCAPE Whitepaper50211 CPG,2/6/2009,4/10/2009,Technology,36.6,3451
71,HP Whitepapers CPG,2/6/2009,5/1/2009,Technology,36.6,12326
72,HP Whitepaper2013 CPG,2/6/2009,5/1/2009,Technology,36.6,20464
73,Excel Whitepapers CPG,2/6/2009,2/15/2016,Business/Finance,100,40588
74,Cast Whitepaper CPG,2/8/2009,5/30/2009,Technology,36.6,3512
75,DOI Whitepaper CPG,2/8/2009,6/27/2009,Business/Finance,36.6,54532
76,HP Whitepaper CPG,2/12/2009,4/25/2009,Technology,36.6,10482
77,NexGen whitepaper CPG,2/12/2009,7/24/2010,Business/Finance,36.6,30774
78,Diskeeper Whitepaper CPG,2/15/2009,3/2/2009,Technology,36.6,2068
79,GlobalSCAPE Whitepaper CPG,2/15/2009,1/28/2013,Technology,53.9,2951
80,OnForce WhitePaper CPG,2/16/2009,4/24/2009,Technology,36.6,24231
81,Aveksa Whitepaper CPG,2/19/2009,4/3/2009,Technology,36.6,2042
82,IBM Whitepaper CPG,2/19/2009,4/13/2009,Technology,36.6,6260
83,IBM Whitepaper CPG,2/19/2009,4/13/2009,Technology,36.6,4673
84,Adaptive Whitepaper CPG,2/19/2009,5/22/2009,Technology,36.6,2752
85,mindSHIFT Whitepaper CPG,2/19/2009,2/18/2013,Technology,1.9,2728
86,mindSHIFT Whitepaper CPG,2/19/2009,2/16/2015,Technology,1.3,2274
87,Avaya Whitepaper CPG,2/21/2009,2/9/2014,Technology,39.5,3007
88,ARX Whitecampaign CPG,2/22/2009,5/23/2009,Technology,36.6,3693
89,Direct White90711 CPG,2/22/2009,6/27/2009,Business/Finance,36.6,21034
90,Tideway White CPG,2/23/2009,5/1/2009,Technology,36.6,5295
91,Bomgar White CPG,2/23/2009,3/23/2015,Technology,77.9,6791
92,Stratus White CPG,2/26/2009,4/11/2009,Technology,36.6,8733
93,HP White CPG,2/26/2009,5/1/2009,Technology,36.6,12843
94,Actek WSSDE CPG,2/27/2009,3/5/2009,Technology,36.6,20869
95,CA White CPG,2/28/2009,3/27/2009,Technology,36.6,14109
96,Ounce White CPG,2/28/2009,4/11/2009,Technology,36.6,2157
97,qaSignature White CPG,2/28/2009,3/18/2013,Technology,15.7,1152
98,HP White CPG,3/2/2009,5/22/2009,Technology,36.6,15112
99,Ultraseek White CPG,3/2/2009,6/22/2009,Technology,36.6,9740
100,HP White CPG,3/2/2009,2/29/2016,Technology,2.5,29175
101,Network white CPG,3/5/2009,3/10/2014,Technology,78.1,5580
102,IBM white CPG,3/6/2009,4/13/2009,Technology,36.6,3156
103,SEPATON White CPG,3/6/2009,3/18/2013,Technology,28.4,4767
104,Sunbelt white CPG,3/8/2009,6/16/2009,Technology,36.6,8711
105,Proofpoint White CPG,3/8/2009,6/25/2009,Technology,36.6,5008
106,IBM White CPG,3/12/2009,4/13/2009,Technology,36.6,3003
107,Sophos White CPG,3/16/2009,9/27/2009,Technology,36.6,10549
108,Oce White CPG,3/19/2009,7/19/2009,Technology,36.6,4448
109,LeftHand White CPG,3/19/2009,9/3/2009,Technology,36.6,18853
110,Data White CPG,3/19/2009,3/11/2013,Technology,15.5,5862
111,IBM WhichVoIP CPG,3/20/2009,4/13/2009,Marketing,36.6,1380
112,Dell White CPG,3/20/2009,2/24/2014,Technology,11.4,10233
113,SAP Weigh-Tronix CPG,3/21/2009,4/6/2009,Marketing,36.6,1624
114,VeriSign WebTech CPG,3/21/2009,5/16/2009,Technology,36.6,1001
115,GFI WhichVoIPQuote72011 CPG,3/21/2009,3/4/2013,Technology,36.4,599
116,BoxTone Webstore2013 CPG,3/22/2009,9/24/2009,Technology,36.6,18031
117,IBM Website41310 CPG,3/23/2009,5/22/2009,Technology,36.6,3767
118,Lone Website CPG,3/23/2009,6/20/2010,Business/Finance,36.6,1540
119,Dynamics WebSecurity2011 CPG,3/26/2009,5/11/2009,Technology,36.6,13214
120,Wisdom WebLeads102709 CPG,3/27/2009,4/15/2012,Business/Finance,100,1765
121,CMC Websense2013 CPG,3/27/2009,3/17/2014,Business/Finance,100,2914
122,Hubspot -Webinars CPG,3/28/2009,3/28/2009,Technology,36.6,854
123,6th Webinar--Sept CPG,3/28/2009,6/26/2009,Technology,36.6,8110
124,CrownPeak WebinarOct30 CPG,3/29/2009,7/18/2009,Marketing,36.6,2696
125,HubSpot Webinar--Oct CPG,3/29/2009,6/26/2010,Marketing,36.6,2651
126,AppAssure Webinar--Nov CPG,3/30/2009,4/20/2015,Technology,45.3,3438
127,BMC Webinar--Mar CPG,4/3/2009,5/25/2009,Technology,36.6,2664
128,Burton Webinar--Mar CPG,4/3/2009,6/25/2009,Technology,36.6,15714
129,BlueArc Webinar--May CPG,4/3/2009,4/16/2012,Technology,11,12134
130,Oracle Webinar--Jul CPG,4/4/2009,6/25/2009,Technology,36.6,5864
131,Quantum Webinar--Jun CPG,4/4/2009,8/15/2010,Technology,36.6,2717
132,"IBM WebinarJAN23,2013 CPG",4/5/2009,9/18/2009,Technology,36.6,39369
133,AbleSys Webinar--Jan CPG,4/5/2009,3/6/2010,Business/Finance,36.6,3972
134,RCG Webinar--Jan CPG,4/5/2009,4/14/2014,Business/Finance,100,7612
135,SAP WebinarforSAP(newsletter) CPG,4/9/2009,9/19/2009,Technology,36.6,99319
136,Stratus Webinar--Feb(TEST) CPG,4/9/2009,11/21/2009,Technology,36.6,49966
137,IBM Webinar--Feb CPG,4/10/2009,6/13/2009,Technology,36.6,10148
138,MARI Webinar--Feb CPG,4/10/2009,8/15/2010,Business/Finance,36.6,3120
139,qaSignature Webinar--Feb CPG,4/11/2009,4/5/2010,Technology,36.6,1222
140,SkillSoft WebinarEU42210 CPG,4/12/2009,7/26/2009,Human Resources,36.6,37618
141,Ounce Webinar--Feb CPG,4/12/2009,4/9/2012,Technology,33.4,2214
142,HP Webinar--Dec CPG,4/13/2009,6/14/2009,Technology,36.6,16930
143,HyperOffice Webinar--Aug CPG,4/13/2009,4/12/2010,Technology,36.6,1549
144,Webroot WebinarDigitalAssetManagement CPG,4/13/2009,4/3/2011,Technology,0.4,5382
145,Vision Webinar--Apr CPG,4/13/2009,4/15/2013,Technology,71.6,3434
146,Landslide Webinar2013 CPG,4/16/2009,6/3/2009,Technology,36.6,6772
147,Landslide Webinar_Marketing CPG,4/16/2009,6/5/2009,Marketing,36.6,3791
148,Citrix Webinar41972 CPG,4/16/2009,7/12/2009,Technology,36.6,14540
149,Options Webinar42210 CPG,4/16/2009,8/15/2010,Business/Finance,36.6,3439
150,newScale Webinar/31 CPG,4/18/2009,4/1/2013,Technology,9.5,7564
151,IBM -webinar CPG,4/19/2009,6/25/2009,Technology,36.6,5981
152,First Webinar CPG,4/20/2009,8/14/2010,Business/Finance,36.6,21032
153,SiteSpect -Webinar CPG,4/20/2009,3/31/2013,Marketing,26.2,6042
154,OnForce Webinar CPG,4/23/2009,5/26/2009,Technology,36.6,5203
155,Oco Webinar CPG,4/23/2009,8/17/2009,Technology,36.6,7781
156,Alaron Webinar CPG,4/23/2009,4/9/2012,Business/Finance,100,1402
157,Sophos Webinar CPG,4/24/2009,6/22/2009,Technology,36.6,8419
158,BitGravity Webinar CPG,4/24/2009,4/16/2012,Technology,82.6,3712
159,CA Webinar CPG,4/25/2009,7/8/2009,Technology,36.6,25781
160,Recovery Webinar CPG,4/26/2009,6/25/2009,Technology,36.6,3407
161,Huntington Webinar CPG,4/26/2009,8/14/2010,Business/Finance,36.6,1148
162,HP Webinar CPG,5/2/2009,6/14/2009,Technology,36.6,9037
163,LeapFrog Webinar CPG,5/2/2009,5/7/2012,Marketing,2.7,2847
164,Sepaton Webinar CPG,5/4/2009,7/11/2009,Technology,36.6,8781
165,Webroot Webinar CPG,5/4/2009,5/6/2013,Technology,82.5,9114
166,CA Webinar CPG,5/7/2009,6/14/2009,Technology,36.6,7544
167,UTC Webinar CPG,5/7/2009,5/13/2013,Business/Finance,100,10182
168,Tideway Webinar CPG,5/8/2009,6/5/2009,Technology,36.6,2433
169,HP Webinar CPG,5/8/2009,6/14/2009,Technology,36.6,3702
170,Riverbed Webinar CPG,5/8/2009,6/25/2009,Technology,36.6,3346
171,Motorola Webinar CPG,5/8/2009,8/5/2009,Technology,36.6,29026
172,Tealeaf Webinar CPG,5/8/2009,5/13/2013,Marketing,9,5024
173,OnForce Webinar CPG,5/9/2009,5/27/2009,Technology,36.6,5103
174,IBM Webinar CPG,5/9/2009,6/26/2009,Technology,36.6,4204
175,Process webinar CPG,5/9/2009,4/28/2014,Technology,17.5,3970
176,NEI Webinar CPG,5/11/2009,5/10/2010,Technology,36.6,5730
177,InfoBuilders Webinar CPG,5/11/2009,5/15/2011,Marketing,57,15429
178,Data Webinar CPG,5/11/2009,5/12/2014,Technology,15.5,5252
179,AcquireWeb Webinar CPG,5/14/2009,5/10/2010,Marketing,36.6,1919
180,Net webinar CPG,5/15/2009,5/15/2010,Technology,36.6,2955
181,Raritan WebExCampaignTechQ3 CPG,5/16/2009,8/8/2009,Technology,36.6,11097
182,MX WebExTrial21611 CPG,5/16/2009,5/16/2010,Technology,36.6,5042
183,Stratavia WebExCampaignQ3 CPG,5/22/2009,5/13/2013,Technology,25.3,23354
184,IEX WebEx21811 CPG,5/22/2009,5/13/2013,Technology,8.4,2320
185,Ounce Webcasts CPG,5/23/2009,6/14/2009,Technology,36.6,706
186,CA -Webcast CPG,5/23/2009,6/25/2009,Technology,36.6,16586
187,HP Webcast41781 CPG,5/23/2009,7/27/2009,Technology,36.6,47562
188,IBM Webcast CPG,5/24/2009,6/25/2009,Technology,36.6,4204
189,Epicor Webcast CPG,5/25/2009,3/4/2010,Technology,36.6,3151
190,HPSM Webcast CPG,5/27/2009,7/28/2009,Technology,36.6,10546
191,MessageLabs Webcasts CPG,5/27/2009,9/28/2009,Technology,36.6,24996
192,CA Webcast CPG,5/28/2009,8/24/2009,Technology,36.6,27034
193,Gryphon Webcast CPG,5/28/2009,6/17/2012,Business/Finance,100,3627
194,BlueHornet Webcast CPG,6/1/2009,6/4/2012,Marketing,35.2,2805
195,Clearswift Webcast CPG,6/4/2009,7/26/2009,Technology,36.6,6980
196,Yorba Webcast CPG,6/4/2009,10/23/2009,Business/Finance,36.6,1925
197,Tideway Webcast CPG,6/5/2009,7/27/2009,Technology,36.6,5296
198,HP Webcast CPG,6/5/2009,8/3/2009,Technology,36.6,10656
199,IBM Webcast CPG,6/6/2009,6/25/2009,Technology,36.6,3827
200,IBM WebAlliance CPG,6/6/2009,6/25/2009,Technology,36.6,2905
201,AdReady Webcast CPG,6/6/2009,7/18/2009,Marketing,36.6,3082
202,Compendium Web42110 CPG,6/8/2009,6/6/2011,Marketing,34.3,3578
203,Ounce Web40810 CPG,6/11/2009,7/17/2009,Technology,36.6,3616
204,Qualys Web40810 CPG,6/11/2009,11/21/2009,Technology,36.6,19068
205,HP Web CPG,6/12/2009,7/26/2009,Technology,36.6,9927
206,Landslide Water CPG,6/12/2009,7/27/2009,Technology,36.6,2617
207,WatchGuard Web CPG,6/12/2009,8/26/2009,Technology,36.6,15582
208,Green WaysGetMorefromYourITBudgets CPG,6/12/2009,6/11/2012,Technology,12.4,12509
209,VMWare web CPG,6/12/2009,6/24/2013,Technology,18.7,4997
210,Landslide Watchfire-Focus CPG,6/13/2009,7/8/2009,Marketing,36.6,2149
211,PowerTech Watchfire-Focus CPG,6/14/2009,6/21/2011,Technology,57.3,5670
212,Verisign Watchfire CPG,6/15/2009,6/4/2012,Technology,9.6,5010
213,HP WarnerNYC CPG,6/18/2009,9/6/2009,Technology,36.6,18248
214,Sunbelt WarnerNortheast CPG,6/18/2009,9/26/2009,Technology,36.6,9081
215,Oneupweb Warehousing CPG,6/21/2009,6/20/2011,Marketing,1.3,1020
216,Marin Warehouse CPG,6/21/2009,6/20/2011,Marketing,14,1212
217,Platinum WA82608 CPG,6/25/2009,10/10/2009,Business/Finance,36.6,21480
218,BitGravity WA71408 CPG,6/25/2009,6/12/2011,Technology,61,3603
219,Debix WA51208 CPG,6/26/2009,8/20/2009,Technology,36.6,3026
220,Proofpoint WarnerMidwest CPG,6/26/2009,8/26/2009,Technology,36.6,9358
221,IBM WAN CPG,6/26/2009,9/25/2009,Technology,36.6,5357
222,Burton WALeads100108 CPG,6/26/2009,9/25/2009,Technology,36.6,22173
223,Sophos WALeads20909 CPG,6/26/2009,9/26/2009,Technology,36.6,10699
224,Bronto Ware CPG,6/26/2009,10/2/2010,Marketing,49.8,10973
225,Javelin-Debix VUManagement CPG,6/27/2009,8/20/2009,Technology,36.6,3110
226,DEI w/ CPG,6/27/2009,6/27/2011,Business/Finance,68.7,25650
227,Desktop w/ CPG,6/27/2009,6/27/2011,Technology,6.3,5877
228,Data WA101408 CPG,6/27/2009,7/9/2012,Technology,30.3,20756
229,Microsoft VulnerabilityReport CPG,6/28/2009,12/3/2009,Technology,36.6,122584
230,Clearswift VU CPG,6/28/2009,7/4/2010,Technology,36.6,1694
231,IBM VSTS22509 CPG,7/2/2009,8/29/2009,Technology,36.6,8916
232,VeriSign vSphere CPG,7/2/2009,9/25/2009,Technology,36.6,18749
233,Tripwire VSML2012IFWDec-Mar12 CPG,7/2/2009,6/28/2010,Technology,36.6,153736
234,Bazaarvoice vs.EyeTrackingResearch CPG,7/3/2009,6/28/2010,Marketing,36.6,1453
235,BlueCat vs. CPG,7/4/2009,7/2/2012,Technology,82.6,3887
236,CBLearning VoIPOct-Dec'11 CPG,7/5/2009,8/26/2009,Technology,36.6,4923
237,SAS VoIPNovember12toNovember13 CPG,7/6/2009,7/18/2011,Marketing,3.8,3887
238,Landslide VoIPFebruary-May'12 CPG,7/9/2009,8/3/2009,Marketing,36.6,4146
239,Landslide VoIPDec11-March'12 CPG,7/9/2009,8/3/2009,Technology,36.6,2399
240,CA VoIPJuly-September12 CPG,7/9/2009,8/20/2009,Technology,36.6,13828
241,CA VoIPJuly-Sept'11 CPG,7/9/2009,8/20/2009,Technology,36.6,13727
242,MessageLabs VoIPJuly-September12 CPG,7/9/2009,10/26/2009,Technology,36.6,3278
243,Oracle VoIPLeads61809 CPG,7/9/2009,6/28/2010,Technology,36.6,10265
244,Novell VoIPApril-June12 CPG,7/11/2009,8/25/2009,Technology,36.6,10935
245,Quest VoIPLeads62909 CPG,7/11/2009,9/25/2009,Technology,36.6,3372
246,Vision Web/E-Commerce21910 CPG,7/12/2009,9/7/2009,Technology,36.6,3473
247,Zaner VOIP91509 CPG,7/13/2009,8/23/2009,Business/Finance,36.6,2159
248,Citrix VoIP51509 CPG,7/18/2009,9/25/2009,Technology,36.6,14775
249,Riverbed VoIP72109 CPG,7/18/2009,10/4/2010,Technology,38.8,1025
250,Sepaton VOIP2012 CPG,7/19/2009,9/20/2009,Technology,36.6,12291
251,CrownPeak VoIP41409 CPG,7/19/2009,7/10/2011,Marketing,23.5,5105
252,HP VoIP12 CPG,7/20/2009,9/24/2009,Technology,36.6,19373
253,IBM VOIP CPG,7/20/2009,9/25/2009,Technology,36.6,4480
254,IBM VOIP CPG,7/20/2009,9/25/2009,Technology,36.6,12978
255,Oce VOIP CPG,7/20/2009,7/4/2011,Technology,1,5897
256,Absolute VOIP CPG,7/20/2009,9/3/2011,Technology,16.3,30229
257,Fathom VOIP CPG,7/24/2009,8/8/2009,Technology,36.6,2328
258,Fathom Voip CPG,7/24/2009,8/8/2009,Marketing,36.6,2221
259,HP VOIP CPG,7/24/2009,11/12/2009,Technology,36.6,26348
260,Entrust Voice CPG,7/25/2009,9/25/2009,Technology,36.6,10153
261,RJO VNX CPG,7/27/2009,8/9/2009,Business/Finance,36.6,1768
262,OpVest VNXe CPG,7/27/2009,9/25/2009,Business/Finance,36.6,5149
263,Click VoiceStar CPG,7/27/2009,10/4/2010,Marketing,52.4,3099
264,HP VMware30308 CPG,7/28/2009,11/8/2009,Technology,36.6,28345
265,Zacks VMWare CPG,7/30/2009,10/25/2009,Business/Finance,36.6,2577
266,MessageLabs VMware200870208 CPG,7/30/2009,10/26/2009,Technology,36.6,418
267,Daniels VMITWPMar'13 CPG,7/30/2009,8/6/2012,Business/Finance,100,5597
268,Fiberlink Visual CPG,7/31/2009,1/18/2010,Technology,36.6,5973
269,Nokia Visiting CPG,8/2/2009,9/26/2009,Technology,36.6,20161
270,Motorola Visibility CPG,8/6/2009,9/25/2009,Technology,36.6,12936
271,HP VirtualizationPANFeb-April'11 CPG,8/7/2009,10/18/2009,Technology,36.6,34302
272,FireEye VirtualizationReport CPG,8/7/2009,8/16/2010,Technology,36.6,5371
273,McAfee VirtualizationPANIDGAug-Sept'12 CPG,8/7/2009,9/27/2010,Technology,47.4,45656
274,LogMeIn Virtualization2013 CPG,8/8/2009,10/26/2009,Technology,36.6,4301
275,SkillSoft Virtualization_Standard_Q4_12 CPG,8/9/2009,1/27/2010,Human Resources,36.6,73755
276,RJO Virtualization_HQL_Q4_12 CPG,8/10/2009,8/26/2009,Business/Finance,36.6,9607
277,newScale Virtualization/Automation CPG,8/10/2009,8/1/2011,Technology,5.6,7349
278,MessageLabs Virtualization CPG,8/13/2009,9/12/2009,Technology,36.6,34433
279,Fathom Virtualization CPG,8/15/2009,9/10/2009,Technology,36.6,2126
280,SECNAP Virtualization CPG,8/15/2009,10/5/2009,Technology,36.6,5136
281,Fathom Virtualization CPG,8/15/2009,8/13/2012,Marketing,50.9,2020
282,CA Virtualization CPG,8/16/2009,9/18/2009,Technology,36.6,14098
283,IBM Virtual CPG,8/16/2009,9/25/2009,Technology,36.6,4816
284,Juniper VIPRE40111 CPG,8/16/2009,10/17/2009,Technology,36.6,3735
285,MX VipreITWPDropTabOct-Dec'11 CPG,8/16/2009,8/9/2010,Technology,36.6,4575
286,Utimaco ViewpointJasonwinthorp20Leads@?75 CPG,8/20/2009,11/14/2009,Technology,36.6,50365
287,CA VideoSolution CPG,8/21/2009,9/26/2009,Technology,36.6,13389
288,CA VideoITwhitepapersDecember12toDecember13 CPG,8/21/2009,9/26/2009,Technology,36.6,14630
289,thawte Video CPG,8/23/2009,9/13/2009,Technology,36.6,3349
290,Oco video CPG,8/23/2009,11/9/2009,Technology,36.6,6112
291,Utimaco Vertical CPG,8/23/2009,12/13/2009,Technology,36.6,14374
292,Compendium Vertical CPG,8/23/2009,8/2/2010,Marketing,36.6,2262
293,Marketo VIPRE40111 CPG,8/28/2009,1/2/2010,Marketing,36.6,4323
294,AirDefense Vertical CPG,8/29/2009,9/26/2009,Technology,36.6,2979
295,RJO Vertical CPG,8/29/2009,8/29/2010,Business/Finance,61.1,8250
296,Tidal versus CPG,8/29/2009,8/29/2011,Technology,37.1,4932
297,ADC VaultGen CPG,8/30/2009,9/25/2009,Technology,36.6,1970
298,Juniper Velocity13 CPG,8/30/2009,9/26/2009,Technology,36.6,3677
299,HP Velocity13 CPG,8/30/2009,10/26/2009,Technology,36.6,9857
300,GFI VDIPack CPG,8/30/2009,12/26/2009,Technology,36.6,1901
301,"Redspin VanchTechnologyCO.,LTD CPG",9/3/2009,9/5/2011,Technology,58.3,3537
302,SenSage VaultGen CPG,9/3/2009,9/19/2011,Technology,61.9,6207
303,Proofpoint V7000 CPG,9/4/2009,9/25/2009,Technology,36.6,5571
304,IBM Utilities CPG,9/4/2009,9/25/2009,Technology,36.6,4418
305,HP UTM CPG,9/4/2009,10/17/2009,Technology,36.6,9188
306,MGMA USUKQ1 CPG,9/5/2009,1/27/2010,Marketing,36.6,3299
307,IBM USLeads60909 CPG,9/7/2009,10/3/2009,Technology,36.6,5958
308,CA USQ12013 CPG,9/7/2009,10/25/2009,Technology,36.6,5752
309,Consona/M2M USTrial CPG,9/7/2009,9/19/2010,Technology,40.9,7595
310,EqualLogic USATouch CPG,9/10/2009,9/20/2010,Technology,33.3,7580
311,LeftHand USCPaper CPG,9/10/2009,10/11/2010,Technology,35.5,4776
312,ExactTarget USASecurity CPG,9/10/2009,9/25/2011,Marketing,19,2200
313,Engine US82709 CPG,9/11/2009,10/2/2009,Marketing,36.6,2157
314,Lyris USASalesLeadsAsset CPG,9/11/2009,10/10/2009,Marketing,36.6,3081
315,HP USA CPG,9/11/2009,11/8/2009,Technology,36.6,13069
316,MessageLabs US70910 CPG,9/12/2009,10/24/2009,Technology,36.6,15194
317,YouSendIt US82709 CPG,9/12/2009,11/14/2009,Technology,36.6,13146
318,YouSendIt US71510 CPG,9/12/2009,11/14/2009,Marketing,36.6,4768
319,Alcatel US22411 CPG,9/13/2009,2/21/2010,Technology,36.6,2353
320,IBM US CPG,9/18/2009,12/26/2009,Technology,36.6,15602
321,JBoss US CPG,9/18/2009,12/26/2009,Technology,36.6,903
322,CA US CPG,9/18/2009,8/14/2010,Technology,36.6,25141
323,HP US CPG,9/19/2009,10/17/2009,Technology,36.6,15930
324,Breakout US CPG,9/19/2009,9/19/2011,Marketing,14.4,2150
325,Marketo US CPG,9/20/2009,1/2/2010,Technology,36.6,3215
326,Lumension US CPG,9/20/2009,9/19/2011,Technology,36.4,5812
327,Log US CPG,9/21/2009,,Technology,27.2,3163
328,Research US CPG,9/21/2009,11/28/2009,Technology,36.6,4283
329,Dell US CPG,9/24/2009,12/31/2010,Technology,1.7,10759
330,qaSignature US CPG,9/25/2009,1/25/2010,Technology,36.6,1243
331,Tripwire URL CPG,9/25/2009,9/27/2010,Technology,56.1,4456
332,Sophos US&CA CPG,9/26/2009,,Technology,50.9,742
333,Proofpoint US CPG,9/26/2009,10/26/2009,Technology,36.6,4886
334,Sophos US CPG,9/26/2009,11/12/2009,Technology,36.6,10678
335,IBM US CPG,9/26/2009,12/26/2009,Technology,36.6,9711
336,IBM Upgrade121708 CPG,9/26/2009,12/26/2009,Technology,36.6,20568
337,DeviceLock UniversityProgramforFinancialPlanning CPG,9/26/2009,1/1/2010,Technology,36.6,6456
338,CA Unix CPG,9/26/2009,2/3/2010,Technology,36.6,39559
339,OpVest US CPG,9/26/2009,12/31/2010,Business/Finance,100,8925
340,CertifiedMail Unix CPG,9/26/2009,9/26/2011,Technology,30.4,9166
