Cust_id,Network complaints,Data pack complaints,bill complaints,SMS_pack_Complaints,Other Complaints
2019129413,No,No,No,No,Yes
2019129415,No,No,No,No,Yes
2019129421,No,No,No,No,Yes
2019129427,No,Yes,No,No,No
2019129431,No,No,Yes,No,No
2019129434,Yes,No,No,No,No
2019129436,No,No,No,No,Yes
2019129438,No,Yes,No,No,No
2019129440,Yes,No,No,No,No
2019129441,No,No,No,No,Yes
2019129442,Yes,No,No,No,No
2019129444,No,No,No,Yes,No
2019129446,No,No,No,Yes,No
2019129450,No,No,No,No,Yes
2019129452,No,No,No,Yes,No
2019129454,Yes,No,No,No,No
2019129459,No,No,No,Yes,No
2019129466,No,Yes,No,No,No
2019129470,No,Yes,No,No,No
2019129473,No,No,No,No,Yes
2019129476,No,No,Yes,No,No
2019129479,Yes,No,No,No,No
2019129481,Yes,No,No,No,No
2019129482,No,No,No,Yes,No
2019129484,No,No,Yes,No,No
2019129489,No,No,No,No,Yes
2019129506,No,No,No,No,Yes
2019129527,Yes,No,No,No,No
2019129528,No,Yes,No,No,No
2019129529,No,No,No,Yes,No
2019129530,No,No,No,Yes,No
2019129533,No,No,Yes,No,No
2019129535,Yes,No,No,No,No
2019129536,No,Yes,No,No,No
2019129538,No,No,No,No,Yes
2019129539,No,No,No,No,Yes
2019129540,No,No,No,No,Yes
2019129541,No,No,No,No,Yes
2019129542,Yes,No,No,No,No
2019129543,Yes,No,No,No,No
2019129544,No,Yes,No,No,No
2019129545,Yes,No,No,No,No
2019129546,No,Yes,No,No,No
2019129606,No,No,Yes,No,No
2019129730,No,No,No,No,Yes
2019129771,Yes,No,No,No,No
2019129778,Yes,No,No,No,No
2019129785,No,No,No,Yes,No
2019129789,No,No,No,No,Yes
2019129801,No,No,Yes,No,No
2019129829,Yes,No,No,No,No
2019129830,No,No,No,No,Yes
2019129834,No,No,No,Yes,No
2019129839,No,No,Yes,No,No
2019129843,Yes,No,No,No,No
2019129918,No,No,Yes,No,No
2019129962,Yes,No,No,No,No
2019129982,No,Yes,No,No,No
2019129995,No,No,No,No,Yes
2019129999,No,No,Yes,No,No
2019130036,Yes,No,No,No,No
2019130052,No,Yes,No,No,No
2019130056,No,Yes,No,No,No
2019130127,No,Yes,No,No,No
2019130135,No,No,No,No,Yes
2019130147,No,No,No,Yes,No
2019130180,Yes,No,No,No,No
2019130264,No,Yes,No,No,No
2019130326,No,No,No,Yes,No
2019130396,No,Yes,No,No,No
2019130418,No,Yes,No,No,No
2019130438,No,No,No,No,Yes
2019130465,No,No,Yes,No,No
2019130467,No,No,No,Yes,No
2019130469,No,No,No,Yes,No
2019130471,Yes,No,No,No,No
2019130481,No,No,No,No,Yes
2019130502,No,Yes,No,No,No
2019130532,No,No,Yes,No,No
2019130543,No,No,No,No,Yes
2019130572,No,No,No,Yes,No
2019130622,Yes,No,No,No,No
2019130627,No,No,Yes,No,No
2019130667,No,No,Yes,No,No
2019130741,No,No,No,Yes,No
2019130742,Yes,No,No,No,No
2019130782,No,Yes,No,No,No
2019130786,No,Yes,No,No,No
2019130888,No,Yes,No,No,No
2019130898,No,Yes,No,No,No
2019130934,No,Yes,No,No,No
2019130937,No,No,No,No,Yes
2019130942,No,No,Yes,No,No
2019130948,No,No,No,No,Yes
2019130973,Yes,No,No,No,No
2019131036,Yes,No,No,No,No
2019131040,Yes,No,No,No,No
2019131060,No,No,Yes,No,No
2019131083,No,No,No,No,Yes
2019131163,No,No,Yes,No,No
2019131172,Yes,No,No,No,No
2019131179,Yes,No,No,No,No
2019131204,No,No,No,No,Yes
2019131235,No,No,No,Yes,No
2019131251,Yes,No,No,No,No
2019131327,No,No,No,No,Yes
2019131381,No,No,No,Yes,No
2019131394,Yes,No,No,No,No
2019131407,No,No,No,Yes,No
2019131410,No,Yes,No,No,No
2019131417,No,No,Yes,No,No
2019131460,No,No,Yes,No,No
2019131470,No,No,Yes,No,No
2019131519,No,No,Yes,No,No
2019131539,No,Yes,No,No,No
2019131555,Yes,No,No,No,No
2019131578,No,Yes,No,No,No
2019131602,No,No,No,No,Yes
2019131603,No,No,No,Yes,No
2019131611,No,No,No,Yes,No
2019131614,Yes,No,No,No,No
2019131615,No,No,Yes,No,No
2019131642,No,Yes,No,No,No
2019131644,No,Yes,No,No,No
2019131647,No,Yes,No,No,No
2019131661,No,Yes,No,No,No
2019131681,Yes,No,No,No,No
2019131682,Yes,No,No,No,No
2019131725,Yes,No,No,No,No
2019131791,No,No,No,No,Yes
2019131800,Yes,No,No,No,No
2019131842,No,No,Yes,No,No
2019131858,No,No,No,No,Yes
2019131874,No,No,No,Yes,No
2019131879,No,Yes,No,No,No
2019131881,Yes,No,No,No,No
2019131882,No,Yes,No,No,No
2019131883,No,Yes,No,No,No
2019131884,Yes,No,No,No,No
2019131885,Yes,No,No,No,No
2019131887,No,No,No,No,Yes
2019131899,No,No,No,No,Yes
2019131900,No,Yes,No,No,No
2019131903,No,No,No,No,Yes
2019131904,Yes,No,No,No,No
2019131905,Yes,No,No,No,No
2019131914,No,No,No,No,Yes
2019131927,No,No,No,No,Yes
2019132018,Yes,No,No,No,No
2019132086,Yes,No,No,No,No
2019132098,No,No,No,No,Yes
2019132116,No,No,No,No,Yes
2019132132,No,No,Yes,No,No
2019132141,No,Yes,No,No,No
2019132142,No,No,No,No,Yes
2019132152,No,No,No,No,Yes
2019132202,No,No,No,No,Yes
2019132234,No,No,Yes,No,No
2019132264,Yes,No,No,No,No
2019132284,Yes,No,No,No,No
2019132298,No,No,Yes,No,No
2019132311,No,No,No,No,Yes
2019132329,No,No,No,No,Yes
2019132341,No,No,No,No,Yes
2019132352,No,No,No,Yes,No
2019132399,Yes,No,No,No,No
2019132421,Yes,No,No,No,No
2019132444,No,No,No,Yes,No
2019132514,No,No,No,No,Yes
2019132517,Yes,No,No,No,No
2019132546,Yes,No,No,No,No
2019132562,No,No,No,No,Yes
2019132567,No,Yes,No,No,No
2019132588,No,Yes,No,No,No
2019132621,No,No,No,Yes,No
2019132647,No,No,Yes,No,No
2019132668,Yes,No,No,No,No
2019132725,No,No,No,Yes,No
2019132729,Yes,No,No,No,No
2019132730,No,No,Yes,No,No
2019132768,Yes,No,No,No,No
2019132776,No,No,No,No,Yes
2019132787,No,Yes,No,No,No
2019132788,No,Yes,No,No,No
2019132801,No,No,Yes,No,No
2019132824,No,Yes,No,No,No
2019132860,No,No,No,No,Yes
2019132882,No,Yes,No,No,No
2019132893,No,No,No,Yes,No
2019132900,No,Yes,No,No,No
2019132902,No,No,No,Yes,No
2019132928,No,No,No,No,Yes
2019132946,No,No,No,No,Yes
2019132950,Yes,No,No,No,No
2019132965,Yes,No,No,No,No
2019132986,No,No,No,Yes,No
2019133019,No,No,No,No,Yes
2019133041,No,Yes,No,No,No
2019133053,No,No,Yes,No,No
2019133068,No,Yes,No,No,No
2019133091,No,No,Yes,No,No
2019133160,No,No,Yes,No,No
2019133163,No,Yes,No,No,No
2019133164,No,No,Yes,No,No
2019133170,No,No,No,No,Yes
2019133171,Yes,No,No,No,No
2019133174,No,No,No,No,Yes
2019133175,No,No,No,No,Yes
2019133176,No,Yes,No,No,No
2019133177,No,No,No,No,Yes
2019133178,No,Yes,No,No,No
2019133235,No,Yes,No,No,No
2019133247,No,Yes,No,No,No
2019133248,No,No,Yes,No,No
2019133249,No,No,Yes,No,No
2019133250,No,No,No,No,Yes
2019133251,No,Yes,No,No,No
2019133253,Yes,No,No,No,No
2019133255,Yes,No,No,No,No
2019133257,Yes,No,No,No,No
2019133258,No,Yes,No,No,No
2019133259,No,No,No,No,Yes
2019133266,No,No,No,Yes,No
2019133271,Yes,No,No,No,No
2019133288,No,No,Yes,No,No
2019133301,No,No,Yes,No,No
2019133336,No,No,Yes,No,No
2019133374,No,No,No,Yes,No
2019133444,No,No,No,Yes,No
2019133473,No,Yes,No,No,No
2019133552,No,Yes,No,No,No
2019133566,No,No,Yes,No,No
2019133568,No,No,No,No,Yes
2019133596,No,No,No,No,Yes
2019133632,No,Yes,No,No,No
2019133648,Yes,No,No,No,No
2019133658,No,No,No,Yes,No
2019133670,No,No,No,Yes,No
2019133680,No,Yes,No,No,No
2019133698,No,Yes,No,No,No
2019133702,No,No,Yes,No,No
2019133738,No,Yes,No,No,No
2019133739,Yes,No,No,No,No
2019133746,No,No,Yes,No,No
2019133798,No,No,No,No,Yes
2019133850,No,No,No,Yes,No
2019133867,No,No,Yes,No,No
2019133874,No,No,Yes,No,No
2019133876,No,No,Yes,No,No
2019133919,Yes,No,No,No,No
2019133923,No,No,No,Yes,No
2019133933,No,No,No,Yes,No
2019133934,No,Yes,No,No,No
2019133935,No,No,Yes,No,No
2019133936,No,No,Yes,No,No
2019133938,No,No,Yes,No,No
2019133957,Yes,No,No,No,No
2019133987,No,No,No,No,Yes
2019133997,Yes,No,No,No,No
2019134020,No,No,Yes,No,No
2019134021,No,No,No,No,Yes
2019134050,No,Yes,No,No,No
2019134068,No,Yes,No,No,No
2019134104,No,Yes,No,No,No
2019134111,No,No,Yes,No,No
2019134149,No,No,No,Yes,No
2019134190,No,No,No,No,Yes
2019134207,No,Yes,No,No,No
2019134244,No,No,No,No,Yes
2019134275,No,No,Yes,No,No
2019134315,No,Yes,No,No,No
2019134337,No,No,Yes,No,No
2019134345,No,No,No,Yes,No
2019134350,Yes,No,No,No,No
2019134352,Yes,No,No,No,No
2019134363,No,No,Yes,No,No
2019134389,No,No,No,No,Yes
2019134393,Yes,No,No,No,No
2019134395,No,No,No,No,Yes
2019134414,No,Yes,No,No,No
2019134423,No,Yes,No,No,No
2019134441,Yes,No,No,No,No
2019134442,No,No,Yes,No,No
2019134443,No,No,No,Yes,No
2019134461,No,Yes,No,No,No
2019134480,No,No,No,Yes,No
2019134483,Yes,No,No,No,No
2019134503,No,No,No,Yes,No
2019134537,No,No,Yes,No,No
2019134608,Yes,No,No,No,No
2019134618,No,No,Yes,No,No
2019134636,Yes,No,No,No,No
2019134650,No,No,No,No,Yes
2019134651,No,Yes,No,No,No
2019134652,Yes,No,No,No,No
2019134656,No,Yes,No,No,No
2019134657,No,No,No,No,Yes
2019134668,Yes,No,No,No,No
2019134672,Yes,No,No,No,No
2019134681,No,No,No,Yes,No
2019134697,No,No,No,Yes,No
2019134724,Yes,No,No,No,No
2019134727,Yes,No,No,No,No
2019134770,No,No,Yes,No,No
2019134773,Yes,No,No,No,No
2019134775,Yes,No,No,No,No
2019134799,No,No,No,Yes,No
2019134801,No,No,Yes,No,No
2019134813,No,No,Yes,No,No
2019134822,No,No,No,No,Yes
2019134823,No,No,Yes,No,No
2019134832,No,Yes,No,No,No
2019134833,No,No,No,No,Yes
2019134834,No,No,No,Yes,No
2019134858,No,Yes,No,No,No
2019134885,Yes,No,No,No,No
2019134934,No,No,Yes,No,No
2019134939,Yes,No,No,No,No
2019134945,Yes,No,No,No,No
2019134950,Yes,No,No,No,No
2019134966,No,No,Yes,No,No
2019134967,No,Yes,No,No,No
2019134968,No,Yes,No,No,No
2019134971,No,Yes,No,No,No
2019134973,No,No,No,No,Yes
2019134975,No,No,No,No,Yes
2019134980,No,Yes,No,No,No
2019134982,No,Yes,No,No,No
2019134983,No,No,No,Yes,No
2019134984,No,Yes,No,No,No
2019134988,No,Yes,No,No,No
2019135014,No,No,No,Yes,No
2019135016,No,Yes,No,No,No
2019135086,Yes,No,No,No,No
2019135088,No,No,Yes,No,No
2019135093,Yes,No,No,No,No
2019135096,No,Yes,No,No,No
2019135105,Yes,No,No,No,No
2019135106,No,No,Yes,No,No
2019135132,No,No,No,No,Yes
2019135133,No,No,Yes,No,No
2019135134,No,No,No,No,Yes
2019135135,No,No,Yes,No,No
2019135162,Yes,No,No,No,No
2019135186,No,No,No,Yes,No
2019135218,Yes,No,No,No,No
2019135315,No,No,No,Yes,No
2019135324,No,No,No,No,Yes
2019135357,No,No,No,No,Yes
2019135450,No,No,Yes,No,No
2019135455,No,No,Yes,No,No
2019135462,Yes,No,No,No,No
2019135476,Yes,No,No,No,No
2019135494,No,No,No,Yes,No
2019135497,No,No,No,Yes,No
2019135509,No,No,No,No,Yes
2019135542,No,No,Yes,No,No
2019135571,No,Yes,No,No,No
2019135572,No,No,No,Yes,No
2019135585,No,No,No,Yes,No
2019135600,No,No,Yes,No,No
2019135605,No,No,Yes,No,No
2019135628,Yes,No,No,No,No
2019135648,No,No,No,Yes,No
2019135656,No,Yes,No,No,No
2019135690,No,No,Yes,No,No
2019135755,Yes,No,No,No,No
2019135766,No,Yes,No,No,No
2019135767,No,No,No,No,Yes
2019135773,No,Yes,No,No,No
2019135787,No,No,Yes,No,No
2019135798,No,Yes,No,No,No
2019135802,No,No,No,Yes,No
2019135817,No,No,Yes,No,No
2019135818,Yes,No,No,No,No
2019135834,No,No,No,No,Yes
2019135845,No,No,Yes,No,No
2019135848,No,No,Yes,No,No
2019135863,No,No,Yes,No,No
2019135865,Yes,No,No,No,No
2019135876,No,No,No,No,Yes
2019135878,No,No,Yes,No,No
2019135879,No,Yes,No,No,No
2019135881,No,Yes,No,No,No
2019135885,No,Yes,No,No,No
2019135893,No,No,No,Yes,No
2019135894,No,No,No,Yes,No
2019135903,No,No,No,Yes,No
2019135906,No,No,No,Yes,No
2019135951,No,Yes,No,No,No
2019135962,Yes,No,No,No,No
2019135963,No,Yes,No,No,No
2019135980,No,No,No,No,Yes
2019135986,No,Yes,No,No,No
2019135994,No,Yes,No,No,No
2019135999,No,No,No,No,Yes
2019136000,No,No,No,Yes,No
2019136001,Yes,No,No,No,No
2019136015,No,No,No,Yes,No
2019136099,No,No,Yes,No,No
2019136175,No,Yes,No,No,No
2019136180,No,No,Yes,No,No
2019136182,No,No,Yes,No,No
2019136192,No,No,No,Yes,No
2019136195,No,No,No,Yes,No
2019136196,Yes,No,No,No,No
2019136203,No,No,Yes,No,No
2019136204,No,No,No,Yes,No
2019136205,No,No,No,Yes,No
2019136207,No,Yes,No,No,No
2019136213,No,No,No,No,Yes
2019136275,No,Yes,No,No,No
2019136276,No,No,Yes,No,No
2019136285,Yes,No,No,No,No
2019136296,No,Yes,No,No,No
2019136315,Yes,No,No,No,No
2019136337,No,No,No,Yes,No
2019136342,No,Yes,No,No,No
2019136354,No,Yes,No,No,No
2019136356,No,No,Yes,No,No
2019136359,No,Yes,No,No,No
2019136363,No,No,No,Yes,No
2019136367,No,Yes,No,No,No
2019136396,No,No,No,Yes,No
2019136400,No,No,Yes,No,No
2019136401,Yes,No,No,No,No
2019136413,No,Yes,No,No,No
2019136439,No,No,No,No,Yes
2019136444,No,No,No,No,Yes
2019136453,Yes,No,No,No,No
2019136462,No,No,No,Yes,No
2019136463,Yes,No,No,No,No
2019136465,No,Yes,No,No,No
2019136466,No,No,No,No,Yes
2019136467,No,No,Yes,No,No
2019136468,No,No,Yes,No,No
2019136470,No,No,No,No,Yes
2019136471,No,No,No,No,Yes
2019136475,No,No,No,Yes,No
2019136479,Yes,No,No,No,No
2019136491,No,Yes,No,No,No
2019136497,No,No,Yes,No,No
2019136498,No,Yes,No,No,No
2019136499,No,Yes,No,No,No
2019136500,No,No,Yes,No,No
2019136501,No,No,Yes,No,No
2019136532,No,No,Yes,No,No
2019136552,No,No,Yes,No,No
2019136555,No,Yes,No,No,No
2019136556,No,No,Yes,No,No
2019136583,Yes,No,No,No,No
2019136596,No,No,No,No,Yes
2019136609,Yes,No,No,No,No
2019136611,No,No,No,Yes,No
2019136615,No,No,No,Yes,No
2019136625,No,No,No,No,Yes
2019136630,No,No,No,Yes,No
2019136640,No,Yes,No,No,No
2019136655,No,No,No,Yes,No
2019136689,No,No,No,No,Yes
2019136706,No,No,No,No,Yes
2019136717,Yes,No,No,No,No
2019136718,No,Yes,No,No,No
2019136726,No,No,No,Yes,No
2019136735,No,Yes,No,No,No
2019136750,No,No,No,Yes,No
2019136769,Yes,No,No,No,No
2019136771,No,No,Yes,No,No
2019136777,Yes,No,No,No,No
2019136781,No,No,Yes,No,No
2019136793,No,No,No,Yes,No
2019136809,No,Yes,No,No,No
2019136827,No,Yes,No,No,No
2019136848,No,Yes,No,No,No
2019136863,No,No,Yes,No,No
2019136886,No,No,No,No,Yes
2019136915,Yes,No,No,No,No
2019136957,Yes,No,No,No,No
2019136962,No,No,No,No,Yes
2019136969,No,No,Yes,No,No
2019136979,No,No,No,Yes,No
2019136995,No,Yes,No,No,No
2019136996,No,No,No,No,Yes
2019136997,No,No,Yes,No,No
2019136999,Yes,No,No,No,No
2019137000,No,Yes,No,No,No
2019137028,No,No,No,Yes,No
2019137029,No,Yes,No,No,No
2019137033,Yes,No,No,No,No
2019137041,Yes,No,No,No,No
2019137044,No,Yes,No,No,No
2019137094,Yes,No,No,No,No
2019137136,No,No,Yes,No,No
2019137148,No,No,No,No,Yes
2019137154,No,No,No,Yes,No
2019137155,No,No,No,No,Yes
2019137156,No,No,Yes,No,No
2019137157,No,No,No,No,Yes
2019137162,No,No,Yes,No,No
2019137163,No,No,No,Yes,No
2019137170,No,No,Yes,No,No
2019137172,No,No,No,Yes,No
2019137183,No,Yes,No,No,No
2019137197,No,No,No,Yes,No
2019137211,No,Yes,No,No,No
2019137213,Yes,No,No,No,No
2019137224,No,Yes,No,No,No
2019137232,Yes,No,No,No,No
2019137238,No,Yes,No,No,No
2019137270,No,No,No,No,Yes
2019137276,Yes,No,No,No,No
2019137279,No,No,No,Yes,No
2019137283,No,No,No,Yes,No
2019137284,Yes,No,No,No,No
2019137292,No,No,Yes,No,No
2019137297,No,Yes,No,No,No
2019137307,Yes,No,No,No,No
2019137317,Yes,No,No,No,No
2019137321,No,No,No,No,Yes
2019137341,No,No,Yes,No,No
2019137395,No,No,No,Yes,No
2019137412,No,Yes,No,No,No
2019137434,No,No,No,Yes,No
2019137435,Yes,No,No,No,No
2019137476,No,Yes,No,No,No
2019137488,Yes,No,No,No,No
2019137506,No,No,No,No,Yes
2019137519,No,No,No,No,Yes
2019137544,No,Yes,No,No,No
2019137566,Yes,No,No,No,No
2019137607,No,Yes,No,No,No
2019137624,No,No,No,No,Yes
2019137643,No,No,No,No,Yes
2019137663,No,Yes,No,No,No
2019137670,No,No,No,Yes,No
2019137689,No,Yes,No,No,No
2019137700,No,No,No,No,Yes
2019137718,Yes,No,No,No,No
2019137729,No,No,No,Yes,No
2019137731,Yes,No,No,No,No
2019137739,No,No,Yes,No,No
2019137767,No,No,Yes,No,No
2019137779,No,No,No,Yes,No
2019137799,No,No,Yes,No,No
2019137840,No,No,No,No,Yes
2019137917,No,Yes,No,No,No
2019138009,No,Yes,No,No,No
2019138012,No,No,No,Yes,No
2019138014,No,Yes,No,No,No
2019138022,No,No,No,Yes,No
2019138025,No,No,No,Yes,No
2019138078,No,No,No,No,Yes
2019138101,No,Yes,No,No,No
2019138133,No,No,Yes,No,No
2019138142,No,Yes,No,No,No
2019138167,No,Yes,No,No,No
2019138168,No,Yes,No,No,No
2019138228,No,No,Yes,No,No
2019138236,No,No,Yes,No,No
2019138269,No,No,No,No,Yes
2019138305,No,No,Yes,No,No
2019138313,No,No,Yes,No,No
2019138359,No,Yes,No,No,No
2019138384,No,Yes,No,No,No
2019138398,No,No,No,No,Yes
2019138452,No,Yes,No,No,No
2019138472,Yes,No,No,No,No
2019138500,No,No,No,Yes,No
2019138506,No,No,No,Yes,No
2019138510,Yes,No,No,No,No
2019138514,No,Yes,No,No,No
2019138532,No,No,Yes,No,No
2019138542,No,Yes,No,No,No
2019138551,Yes,No,No,No,No
2019138562,No,No,No,No,Yes
2019138572,No,No,Yes,No,No
2019138581,No,No,Yes,No,No
2019138589,No,No,Yes,No,No
2019138608,No,No,Yes,No,No
2019138616,Yes,No,No,No,No
2019138652,No,No,No,Yes,No
2019138656,Yes,No,No,No,No
2019138662,No,No,No,Yes,No
2019138666,No,Yes,No,No,No
2019138677,No,No,No,Yes,No
2019138689,No,No,No,Yes,No
2019138690,No,No,No,No,Yes
2019138692,No,No,No,Yes,No
2019138693,No,No,No,No,Yes
2019138694,No,No,No,Yes,No
2019138696,No,Yes,No,No,No
2019138697,No,No,No,No,Yes
2019138698,No,No,No,No,Yes
2019138699,Yes,No,No,No,No
2019138700,No,No,No,Yes,No
2019138701,No,No,No,No,Yes
2019138703,No,No,No,No,Yes
2019138706,No,No,No,Yes,No
2019138708,Yes,No,No,No,No
2019138724,No,No,Yes,No,No
2019138731,No,Yes,No,No,No
2019138739,No,No,Yes,No,No
2019138754,No,No,No,No,Yes
2019138762,No,No,Yes,No,No
2019138764,Yes,No,No,No,No
2019138765,No,No,No,Yes,No
2019138767,Yes,No,No,No,No
2019138769,No,No,No,No,Yes
2019138780,Yes,No,No,No,No
2019138782,No,Yes,No,No,No
2019138802,No,No,No,No,Yes
2019138840,No,No,Yes,No,No
2019138845,No,No,No,No,Yes
2019138852,Yes,No,No,No,No
2019138853,No,No,No,Yes,No
2019138860,Yes,No,No,No,No
2019138876,No,No,No,No,Yes
2019138890,No,Yes,No,No,No
2019138943,No,No,No,Yes,No
2019138961,Yes,No,No,No,No
2019138976,No,No,No,No,Yes
2019138985,No,No,No,Yes,No
2019139034,No,No,No,No,Yes
2019139037,No,No,Yes,No,No
2019139045,No,No,Yes,No,No
2019139049,No,No,No,Yes,No
2019139055,No,Yes,No,No,No
2019139060,No,Yes,No,No,No
2019139071,No,No,Yes,No,No
2019139072,Yes,No,No,No,No
2019139075,No,No,No,No,Yes
2019139076,No,Yes,No,No,No
2019139077,No,No,No,Yes,No
2019139078,No,No,No,Yes,No
2019139080,No,No,No,Yes,No
2019139081,No,No,Yes,No,No
2019139083,Yes,No,No,No,No
2019139085,No,No,No,Yes,No
2019139092,No,No,No,No,Yes
2019139098,Yes,No,No,No,No
2019139129,No,Yes,No,No,No
2019139132,No,Yes,No,No,No
2019139133,No,No,No,No,Yes
2019139198,No,No,No,No,Yes
2019139205,No,Yes,No,No,No
2019139206,No,No,No,Yes,No
2019139242,No,No,No,No,Yes
2019139312,No,No,No,No,Yes
2019139317,No,No,Yes,No,No
2019139366,No,No,Yes,No,No
2019139368,Yes,No,No,No,No
2019139376,No,No,No,No,Yes
2019139390,No,Yes,No,No,No
2019139442,No,No,No,Yes,No
2019139450,No,No,Yes,No,No
2019139461,No,No,Yes,No,No
2019139473,Yes,No,No,No,No
2019139505,No,Yes,No,No,No
2019139506,No,No,No,Yes,No
2019139507,Yes,No,No,No,No
2019139510,No,No,No,No,Yes
2019139522,No,No,No,Yes,No
2019139550,Yes,No,No,No,No
2019139558,No,No,No,No,Yes
2019139571,No,No,No,No,Yes
2019139579,Yes,No,No,No,No
2019139599,No,Yes,No,No,No
2019139601,No,No,Yes,No,No
2019139645,No,Yes,No,No,No
2019139655,No,No,No,No,Yes
2019139665,Yes,No,No,No,No
2019139700,No,No,Yes,No,No
2019139725,No,No,Yes,No,No
2019139727,Yes,No,No,No,No
2019139735,No,No,No,No,Yes
2019139737,No,No,No,No,Yes
2019139738,No,Yes,No,No,No
2019139739,No,No,Yes,No,No
2019139742,Yes,No,No,No,No
2019139749,Yes,No,No,No,No
2019139758,No,No,Yes,No,No
2019139760,No,No,Yes,No,No
2019139762,No,No,No,No,Yes
2019139763,No,Yes,No,No,No
2019139767,No,Yes,No,No,No
